content;score;date;version;app_name;sentiment_label;sentiment_score;PIX;Login/Autenticação;Performance;Interface/Usabilidade;Empréstimos/Crédito;Pagamentos/Boletos;Saldo/Extrato;Atendimento;Cadastro/Conta;Investimentos;Segurança;Notificações;Questões geográficas;Placas/Veículos;Tarifas/Cobranças;Outros
não estou conseguindo acessar minha conta.;5;2026-01-05 13:42:56;25.9.1.3;Santander;negative;0.8022167682647705;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
não tô conseguindo abrir o app mesmo limpando o cache;1;2026-01-05 13:07:19;25.9.1.3;Santander;negative;0.7757040858268738;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
não consegui acessar minha conta;3;2026-01-05 12:48:23;25.9.1.3;Santander;negative;0.7161591053009033;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
por favor poderiam resolver esse problema no aplicativo Santander, na última avaliação reportei instabilidade ao abrir o aplicativo Santander, não consigo abrir o aplicativo, quando digito a senha e vou abrir a conta o aplicativo fecha, conversei com o suporte via chat e me disseram que era um problema no aplicativo e que seria resolvido, porém algum tempo depois o aplicativo voltou a fazer as mesmas coisas, hoje por exemplo já tentei abrir o aplicativo mais de 10 vezes e o aplicativo não abre;1;2026-01-05 12:39:05;25.9.1.3;Santander;negative;0.6829731464385986;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
mais de 20 minutos em duas chamadas sem atendimento;1;2026-01-05 11:43:05;25.9.1.3;Santander;negative;0.7446078658103943;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Esta ruim demora demais para abrir mesmo usando a rede Wi-Fi agora vem a mensagem que houve falha você tem que fechar ou aguardar para que o app funcione;1;2026-01-05 11:25:46;25.9.1.3;Santander;negative;0.8500109910964966;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Atualizei o aplicativo e ele deu erro várias vezes. Tive que forçar parada, limpara caches, desinstalar e insralar novamente. Bem dificil;4;2026-01-05 10:24:58;25.9.1.3;Santander;negative;0.8981000185012817;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
não foi muito boa já que não tenho agência aqui;2;2026-01-05 09:41:49;24.11.1.0;Santander;negative;0.7424121499061584;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Mesmo com biometria, toda hora pede senha e da erro. App abandonado!;1;2026-01-05 09:35:31;25.9.1.3;Santander;negative;0.930092751979828;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Comprei outro celular com 5g e Android 13 e pelo visto não melhorou muita coisa, não reconhece selfie para abilitar ID, já fui em todos cantos possíveis da casa, pior que banco digital, demora para abrir o app.;2;2026-01-05 08:53:44;25.9.1.3;Santander;negative;0.9008287191390992;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Fraude minhas contas e Cartão de Crédito, impossível falar já fiz BO, Santander Sto Amaro e Santander Atibaia;1;2026-01-05 08:43:50;25.9.1.3;Santander;negative;0.8685766458511353;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
APLICATIVO TRAVA E QUANDO FUNCIONA É LENTO;1;2026-01-05 07:34:54;25.9.1.3;Santander;negative;0.7454007863998413;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Como pode passar+6 dias úteis pra compensar um documento pago.. . se for IPVA. aqui esqueci., povo deixa a desejar.;1;2026-01-04 22:25:28;25.9.1.3;Santander;negative;0.6568406224250793;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Não tem opção pra solicitar outra senha, não consigo falar com o atendente, não tem a opção esqueci minha senha e outras opções que facilite a pessoa;1;2026-01-04 20:10:17;25.9.1.3;Santander;negative;0.7678942680358887;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Muitas falhas desde 20 de Dezembro, fiquei sem conseguir usar;1;2026-01-04 19:26:50;25.9.1.3;Santander;negative;0.8731722831726074;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PROPAGANDA ENGANOSA É CRIME! VOCÊS FAZEM AS PESSOAS ABRIR CONTA NOS APLICATIVOS DIZENDO QUE TEM ATE R$3.000 DE CARTÃO DE CRÉDITO, E QUANDO A CONTA ESTÁ ABERTA, DIZEM QUE NÃO TEM PROPOSTA... VOU DENUNCIÁ-LOS!;1;2026-01-04 17:46:05;25.9.1.3;Santander;negative;0.9255914092063904;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
essa última versão tá horrível, letra brancas com fundo branco, corrijam por favor;1;2026-01-04 15:34:32;25.9.1.3;Santander;negative;0.9606345891952516;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Desde a última atualização estou tendo problemas para fazer pix... após inserir o valor e confirmar, a tela fica escura e vc tem que voltar para inserir o valor novamente. só que hoje eu não estou conseguindo fazer o pix. Complicado viu!;4;2026-01-04 13:48:52;25.9.1.3;Santander;negative;0.9152659177780152;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Está faltando a notificação quando recebemos o pix;5;2026-01-04 11:47:18;25.9.1.3;Santander;negative;0.7004040479660034;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Aplicativo de um banco tão grande e robusto, e não ter modo escuro, tô fora.;1;2026-01-04 11:37:41;25.9.1.3;Santander;negative;0.786857545375824;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
não consigo baixar a fatura em PDF. A visualização rápida não funciona. O atual sistema não é intuitivo.;1;2026-01-04 11:34:51;25.9.1.3;Santander;negative;0.8570004105567932;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Está com bug ""IntentResolv"", por isso não consegui salvar nem compartilhar comprovante Pix.";1;2026-01-04 11:32:28;25.9.1.3;Santander;negative;0.7269665598869324;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
O app é bom, MAS o banco é péssimo, não oferece benefícios e não entregam o cartão, já solicitei 2x e nada..;1;2026-01-04 11:28:58;;Santander;negative;0.9410603046417236;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
O app está apresentando um bug que no meio do uso, o App fecha...;2;2026-01-04 11:05:51;25.6.2.7;Santander;negative;0.7143982648849487;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ultimamente está péssimo não consigo entrar no aplicativo já limpei cache, dados desinstalei e não consigo acessar. liguei na central cai a ligação decepção total;5;2026-01-04 10:58:59;25.9.1.3;Santander;negative;0.9486318230628968;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
nao fociona o apricativo;1;2026-01-04 10:30:48;23.5.5.1;Santander;negative;0.6254484057426453;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Por funcionar apenas com o protocolo antigo o IPV4 pode haver problemas de performance no aplicativo do banco meu provedor de Internet me fornece IPs IPV4 Públicos porisso eu nunca tive dificuldades em acessá-lo já meus dados móveis vive dando problemas no aplicativo do banco tudo por causa do bendito IPV4 porque a operadora Vivo não me fornece IPs IPV4 Públicos e isso não deve mudar nem tão cedo.;5;2026-01-04 10:04:36;25.9.1.3;Santander;negative;0.7113712430000305;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
o aplicativo dificulta tudo ...mesmo com a nossa facial;1;2026-01-04 09:50:53;25.9.1.3;Santander;negative;0.8721446990966797;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
muito difícil acessar o app trava e mesmo eu fazendo de tudo no meu celular o app não tá funcionando direito;2;2026-01-04 01:07:33;25.9.1.3;Santander;negative;0.8971816301345825;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
o pior aplicativo de banco que já vi ..trava demais custa a abrir,pena que recebo meu salário por ele,se nao já tinha desinstalado;1;2026-01-03 22:18:40;;Santander;negative;0.9368106126785278;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
essa nova versão ficou horrível, pra que ficar atualizado um APP , acaba deixando de ser funcional por conta de estética que por sinal é feia.;1;2026-01-03 19:48:34;25.9.1.3;Santander;negative;0.9610959887504578;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
péssimo aplicativo;1;2026-01-03 19:28:39;25.9.1.3;Santander;negative;0.9354625344276428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Não tô conseguindo entrar na minha conta;2;2026-01-03 18:29:03;25.9.1.3;Santander;negative;0.7796762585639954;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Péssimo, não tem bons atalhos que facilita acesso a fatura, nem aos cartões. Ao pagar faturas online, a opção de copiar código Pix é horrível. Ou até débito direto da conta, tu tem que gravar o valor da fatura e digitar ao pagar ( não tem mostrando o valor da fatura e o tanto que se tem na conta como outros bancos fazem) . Se tu não tiver certeza ou se esquecer o valor, tem que voltar tudo denovo ! não é nem um pouco intuitivo TB os ícones.. enfim resumindo, uma *#$#@😂;1;2026-01-03 18:09:11;25.9.1.3;Santander;negative;0.8826887607574463;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
não gostei desta atualização a antiga e melhor;1;2026-01-03 18:05:47;25.9.1.3;Santander;negative;0.4769469201564789;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
As vezes quando você mais precisa, não funciona.;2;2026-01-03 17:53:23;;Santander;negative;0.6420391798019409;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Essa atualização trava no chat quando clica no link. Você começa uma conversa no chat, ele te manda um link. Quando clica no link o app trava e fecha.;3;2026-01-03 17:47:10;25.9.1.3;Santander;negative;0.5818468928337097;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
não tô conseguindo acessar o aplicativo, gostaria de saber o que tá acontecendo;1;2026-01-03 17:23:57;25.9.1.3;Santander;negative;0.7156258225440979;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
após atualização de outubro 2025, o aplicativo tem apresentado inúmeras falhas de login, com carregamento infinito e quando já logado, por vezes durante uma ação importante como envio de pix, desliga automaticamente. essas falhas estao tornando o aplicativo quase que inutilizável.;2;2026-01-03 16:19:06;25.9.1.3;Santander;negative;0.8643070459365845;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
banco horroroso, atendimento zero;1;2026-01-03 15:15:35;;Santander;negative;0.9550647735595704;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
esse negócio de desativar a biometria das pessoas, quase sempre, é complicado hein ???. qdo a gente mais precisa é uma burocracia dos infernos;2;2026-01-03 14:59:46;25.9.1.3;Santander;negative;0.9137762188911438;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
você entra no aplicativo consta que tem saldo por exemplo r$ 700 você vai pagar uma conta e diz que não tem saldo, mas aí é que vem o problema na hora do atendimento, eu e acredito que 99% das pessoas não querem ser atendidas por robô com mensagens automáticas semi-prontas, isso é um saco, não conseguisse atendido e muito menos meu problema resolvido;1;2026-01-03 14:09:42;25.9.1.3;Santander;negative;0.8927755355834961;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
achava ótimo, quem mais concorda comigo que essa última atualização esta horrível ,o gráfico está feio ruin de entender volta pra atualização antiga;5;2026-01-03 14:04:31;25.9.1.3;Santander;negative;0.9583712220191956;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
muito ruim de difícil acesso, o atendimento pessoal é pessimo.;1;2026-01-03 12:29:12;;Santander;negative;0.9544566869735718;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Aplicativo cheio de problemas. Uma hora não carrega para acessar o informativos que preciso, outra hora é o pix que carrega infinitamente e o aplicativo reinicia sozinho. Complicado...;1;2026-01-03 12:25:23;25.9.1.3;Santander;negative;0.9102013111114502;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
não resolve e impede o contato via telefone;1;2026-01-03 12:22:12;25.9.1.3;Santander;negative;0.7456708550453186;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Horrível 😕 Toda hora trava e impede uso.;1;2026-01-03 11:26:11;25.9.1.3;Santander;negative;0.9401302933692932;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Peca no atendimento on-line;4;2026-01-03 10:39:26;25.9.1.3;Santander;negative;0.8795365691184998;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Horrivel, não sei pra que aplicativo se você não consegue fazer um simples pix ou pagar uma conta porque só da ERRO. Ter o aplicativo e nada é a mesma coisa.;1;2026-01-03 09:47:53;25.9.1.3;Santander;negative;0.9441592693328856;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
lixo, horrível toda HR da instabilidade nesse banco de longe um dos piores bancos que existem;1;2026-01-03 09:45:12;25.9.1.3;Santander;negative;0.9654621481895448;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
terrível roda,roda não entra;1;2026-01-03 09:44:32;25.9.1.3;Santander;negative;0.823085606098175;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Aplicativo, não abre de jeito nenhum, apresenta falhas constantes, já desinstalei e instalei novamente e não abre. estou a dias sem acesso ao banco via app. Péssimo!!! Tenho conta em outros bancos e isso não acontece.;1;2026-01-03 07:11:28;25.9.1.3;Santander;negative;0.9386411905288696;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ficou péssimo a atualização desse app. até pra pagar a fatura do cartão da trabalho e na hora de fazer pix o valor na conta corrente some daí tem que sair do pix e voltar para o menu inicial pra saber o valor;2;2026-01-03 07:08:02;25.9.1.3;Santander;negative;0.9128812551498412;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
Tenho o Santander como meu banco, já contratei o dindin, e agora quando tento contratar, aparece uma msg que não está disponível para mim, gostaria de saber porque é como faço para contratar?;5;2026-01-03 03:32:14;25.9.1.3;Santander;negative;0.6158739328384399;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
não funciona já a dois dias;1;2026-01-02 20:11:17;25.9.1.3;Santander;negative;0.8209614753723145;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
horrível, quando você mais precisa, o app trava .;1;2026-01-02 19:58:52;25.9.1.3;Santander;negative;0.9263076782226562;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Tenho a conta como principal, com relação ao app sinceramente não gostei desse novo layout se já tem banner principal vermelho do saldo não teria necessidade de uma caixa em baixo com saldo tbm achei feio desnecessário;5;2026-01-02 18:50:16;25.9.1.3;Santander;negative;0.9344366788864136;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Desde da última atualização o app ficou muito instável antes ele era bom agora toda vez tenho que colocar todos os dados sempre gosto muito do banco Santander maus precisa fazer alguns reajustes;5;2026-01-02 18:46:23;25.9.1.3;Santander;negative;0.931225836277008;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
muito ruim;1;2026-01-02 18:18:58;25.9.1.3;Santander;negative;0.9374898076057434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
não está abrindo o aplicativo para digitar a semha;3;2026-01-02 18:08:46;25.9.1.3;Santander;negative;0.7520653009414673;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
app atual piorou, inclusive mostra saldo errado, so abrindo o extrato para ver certo.;3;2026-01-02 17:42:25;25.9.1.3;Santander;negative;0.88350510597229;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
mais um banco q me deixou na mão na hr q preciso...maos um q vai ser excluído igual banco pan;3;2026-01-02 17:38:47;25.9.1.3;Santander;negative;0.5342895984649658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
aplicativo ruim tenho problemas para fazer pagamento o tempo tudo entro em contato com a central e ninguém consegue resolver. já mudei de aparelho e o problema persiste. prefiro a versão antiga;1;2026-01-02 17:19:26;25.9.1.3;Santander;negative;0.9196529388427734;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
Eu não sei o que acontece, aplicativo mais difícil de abrir que tem. Fica o logo rodando sem fazer nada. Lamentável;1;2026-01-02 16:39:55;25.9.1.3;Santander;negative;0.9465810656547546;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sempre trava! Impressionante, pelo menos uma vez por mês o App dá algum tipo de problema. Com frequência eu tento acessar e ele trava, dá mensagem de erro. As vezes tenho que desinstalar e reinstalar pra voltar a funcionar. E olha que eu tenho Santander há mais de 20 anos, é um banco que confio, mas o App para celular é o pior!;2;2026-01-02 16:09:16;25.9.1.3;Santander;negative;0.9297009706497192;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Além de ser um banco COMPLICADO de usar , a nova de agora é a gente pagar contas PELO PRÓPRIO APP . Paguei meu cartão de credito via boleto pelo próprio app e até agora não vi meu limite ser ressarcido . É um descaso e pra falar com uma atendente DE VERDADE , é mais complicado ainda .;1;2026-01-02 16:03:55;25.9.1.3;Santander;negative;0.9168241024017334;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0
Meu app simplesmente sumiu da minha lista de apps. No playstore diz que está instalado e não aparece a opção de abrir. quando aperto para desinstalar não acontece nada;1;2026-01-02 15:53:28;25.9.1.3;Santander;negative;0.8386383056640625;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Não consigo entrar no aplicativo;1;2026-01-02 14:48:44;;Santander;negative;0.7906813621520996;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SUPORTE ONLINE E PRESENCIAL É PÉSSIMO!;1;2026-01-02 14:38:55;25.9.1.3;Santander;negative;0.9347090721130372;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
orivel muito ruim;1;2026-01-02 14:27:58;25.9.1.3;Santander;negative;0.9461194276809692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ficou péssimo desde a última atualização. Demora muito pra abrir, da erro o tempo todo;1;2026-01-02 14:27:05;;Santander;negative;0.9467888474464417;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
pq não liberam pra todos a nova versão do app sacanagem isso aí e não me venham com a desculpa que tá sendo sendo liberado aos poucos;2;2026-01-02 13:42:10;;Santander;negative;0.9318978190422058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ruim;1;2026-01-02 13:24:23;25.9.1.3;Santander;negative;0.5681286454200745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
o aplicativo obriga a mudar a senha constantemente. e nos deixa sem facilidade para acessar a conta. chega a ser ridículo para um banco com tantos recursos.;1;2026-01-02 13:11:45;25.9.1.3;Santander;negative;0.9352364540100098;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
O app é muito bom mas ultimamente depois da última atualização tem dado falhas constantes ao tentar acessar por várias vezes. Isso dificulta muito o dia a dia.;5;2026-01-02 12:54:58;25.9.1.3;Santander;negative;0.8864748477935791;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
o App esta dando erro, nao me deixa entrar, ja desinstalei e instalei novamente e nada;2;2026-01-02 12:08:47;25.9.1.3;Santander;negative;0.8647938966751099;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
cadê a biometria de sempre. Vem pedir a senha do nada. Quando a gente esquece e já usa a biometria vem te cobrar a senha. Muito chato isso. melhorem;1;2026-01-02 10:54:47;25.9.1.3;Santander;negative;0.9512360095977784;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
depois que atualizou o aplicativo não responde;1;2026-01-02 10:48:27;25.9.1.3;Santander;negative;0.56508868932724;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
não concigo entra no Ap;1;2026-01-02 10:47:26;25.9.1.3;Santander;negative;0.8400324583053589;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
layout complicado;4;2026-01-02 10:17:15;25.9.1.3;Santander;negative;0.8851388692855835;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
problemático, depois da última atualização a forma como e demonstrado a fatura do cartão ficou péssima, antes era fácil cesso, agora nao consigo visualizar direito. tenho q ficar procurando tudo pra tentar entender o valor total da fatura. antes naoe ra assim. Era tudo descrito certinho um em baixo do outro. arrumem isso por favor. pq esta péssimo.;2;2026-01-02 09:52:36;25.9.1.3;Santander;negative;0.9539039134979248;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ficou pessima a actualizatcao do app.nao consigo mais abrir a lista do meu emprestimo,so abre as parcelas,antes abria todas parcelas a vencer,agora vou tentar abrir,o app c desliga.pessimo.;1;2026-01-02 09:49:24;25.9.1.3;Santander;negative;0.9333247542381288;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
pior app;1;2026-01-02 09:47:56;24.1.1.1;Santander;negative;0.9265652894973756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
como usar o app em tablets? No app store só diz que é incompatível. Me deem uma resposta correta e não robotizada.;5;2026-01-02 08:32:40;;Santander;negative;0.7528773546218872;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
não tô conseguindo entrar por quanto da digital;2;2026-01-02 08:12:16;25.9.1.3;Santander;negative;0.7694483399391174;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
muito fasio de mecher;5;2026-01-02 07:36:49;25.9.1.3;Santander;negative;0.8394399881362915;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Estou tentando fazer uns pagamento pelo app e também atualizar mais infelizmente nao consigo,o mesmo app fica carregando na hora da transferencia ate cair pensei que era a minha internet mais vi que nao e, preciso de um suporte do banco mais ate agora nao conseguir.;2;2026-01-02 06:07:57;;Santander;negative;0.8538066744804382;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
Bom dia eu sou correntista do Santander o banco tinha que ter a opção que nem tem o.Mercantil e o banco do Brasil de fazer portabilidade de beneficio do inss sem a necessidade de ir na minha agencia mais comodidade para nós clientes porque isso eu fui a uma.agencia aqui perto de casa pata solocitar a portabilidade só posso pedir ma própria agência no qual tenho a conta absurdo isso;1;2026-01-02 04:04:35;25.9.1.3;Santander;negative;0.4240303337574005;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
O aplicativo ñ funciona é ruim só fica dando erro.;5;2026-01-02 02:52:09;25.9.1.3;Santander;negative;0.91241055727005;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
o app está com um bug, vc entra no app e já cai direto na tela de transferência e quando a gente aperta pra volta ele trava;3;2026-01-02 02:28:55;25.9.1.3;Santander;negative;0.8136686682701111;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
ficou péssimo,não entendo como muda um aplicativo que funcionava perfeitamente para uma coisa dessa ,minha fatura não atualiza desde novembro e o atendimento no telefone não consigo falar pra resolver nada,nota zero para esse aplicativo;1;2026-01-01 23:30:10;25.9.1.3;Santander;negative;0.949463963508606;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
o app ficou péssimo na última atualização eu nao consigo encontrar nada no app, ficou muito confuso, você precisa entrar em uma aba pra entrar em outra pra descobrir que a informação que era fácil como as faturas do cartão agora virou um labirinto, o que deveria ser otimizado que é colocar uma observação, ou aparecer como paga quando a gente parcela a fatura não foi feito;1;2026-01-01 22:52:36;25.9.1.3;Santander;negative;0.926729381084442;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Esse app têm me deixado na mão constantemente.;2;2026-01-01 21:33:48;;Santander;negative;0.8958150148391724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
aplicativo abre só quando quer, quase sempre dá erro na hora de entrar. grande parte das funções precisa ser resolvida por ligação ou em agência e ainda sim existe a possibilidade de não resolver o problema. péssimo banco;2;2026-01-01 18:04:11;;Santander;negative;0.9321375489234924;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
o banco é bom, mas o aplicativo depois da atualização tá horrível;2;2026-01-01 15:59:27;25.9.1.3;Santander;negative;0.9005752205848694;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
não tenho nada a reclamar;5;2026-01-01 15:15:58;25.9.1.3;Santander;negative;0.3952473402023315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
aplicativo nao interativo;1;2026-01-01 13:18:48;25.9.1.3;Santander;negative;0.5223857164382935;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
